Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
16,0,417,2.870,2.870,2.429,2.429,0.9968,0.9968,71.667,71.667,94.167,94.167,0.0100,0.0036403,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
16,200,417,4.891,3.533,4.443,3.371,0.9329,1.1603,71.667,68.988,92.500,89.453,0.0100,0.0036378,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
16,400,417,4.046,3.578,3.599,3.416,1.1212,1.1878,68.333,68.138,93.333,89.115,0.0100,0.0036743,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
17,0,417,4.635,4.635,4.198,4.198,1.1670,1.1670,70.000,70.000,89.167,89.167,0.0100,0.0036796,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
17,200,417,4.828,3.517,4.395,3.355,1.0530,1.1980,73.333,68.317,90.000,89.125,0.0100,0.0036690,2043.7730 M,4087.3412 M, 25529472.0000 M, 11945536.0000 M
17,400,417,3.764,3.624,3.307,3.463,1.3283,1.2083,68.333,67.770,86.667,88.975,0.0100,0.0036648,1870.3648 M,4087.3412 M, 25529472.0000 M, 9733120.0000 M
18,0,417,3.358,3.358,2.906,2.906,1.1837,1.1837,70.000,70.000,90.000,90.000,0.0100,0.0037145,1870.3648 M,4087.3412 M, 25529472.0000 M, 9733120.0000 M
18,200,417,5.316,3.649,4.871,3.486,1.3937,1.1842,65.833,68.524,82.500,89.225,0.0100,0.0037572,1696.9565 M,4087.3412 M, 25529472.0000 M, 9207536.0000 M
18,400,417,5.023,3.570,4.591,3.408,1.3256,1.2000,61.667,67.847,84.167,89.048,0.0100,0.0037907,1616.6749 M,4087.3412 M, 25529472.0000 M, 8514640.0000 M
19,0,417,2.921,2.921,2.457,2.457,1.2265,1.2265,67.500,67.500,86.667,86.667,0.0100,0.0037942,1562.0834 M,4087.3412 M, 25529472.0000 M, 8346416.0000 M
19,200,417,3.164,3.598,2.715,3.436,1.4951,1.1811,59.167,68.454,85.833,89.341,0.0100,0.0037732,1536.3933 M,4087.3412 M, 25529472.0000 M, 8313520.0000 M
19,400,417,3.252,3.578,2.817,3.417,1.2596,1.2009,68.333,67.938,86.667,89.036,0.0100,0.0037813,1510.7032 M,4087.3412 M, 25529472.0000 M, 8280688.0000 M
20,0,417,3.330,3.330,2.889,2.889,1.2695,1.2695,68.333,68.333,84.167,84.167,0.0100,0.0037788,1510.7032 M,4087.3412 M, 25529472.0000 M, 8280688.0000 M
20,200,417,4.197,3.689,3.763,3.526,1.2341,1.1945,72.500,68.047,89.167,89.013,0.0100,0.0037758,1456.1117 M,4087.3412 M, 25529472.0000 M, 8263232.0000 M
20,400,417,3.305,3.651,2.871,3.490,1.2826,1.2165,68.333,67.479,90.833,88.788,0.0100,0.0037882,1456.1117 M,4087.3412 M, 25529472.0000 M, 8263232.0000 M
21,0,417,4.518,4.518,4.072,4.072,1.1914,1.1914,70.833,70.833,87.500,87.500,0.0100,0.0038217,1456.1117 M,4087.3412 M, 25529472.0000 M, 8263232.0000 M
21,200,417,4.886,3.615,4.453,3.453,1.1553,1.1673,70.833,68.876,87.500,89.784,0.0100,0.0038381,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
21,400,417,3.777,3.567,3.347,3.406,1.3264,1.1939,65.833,68.115,86.667,89.387,0.0100,0.0038546,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
22,0,417,4.351,4.351,3.894,3.894,1.3314,1.3314,65.000,65.000,89.167,89.167,0.0100,0.0038625,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
22,200,417,3.669,3.677,3.241,3.515,1.0956,1.1830,65.833,68.354,90.833,89.370,0.0100,0.0038368,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
22,400,417,3.419,3.600,2.988,3.438,1.0263,1.2127,72.500,67.525,91.667,88.919,0.0100,0.0038547,1397.7069 M,4087.3412 M, 25529472.0000 M, 8251632.0000 M
23,0,417,2.299,2.299,1.855,1.855,1.4555,1.4555,60.833,60.833,84.167,84.167,0.0100,0.0038652,1397.7069 M,4087.3412 M, 25529472.0000 M, 8251632.0000 M
23,200,417,4.407,3.565,3.958,3.403,1.3459,1.2378,62.500,66.779,86.667,88.462,0.0100,0.0038393,1294.9464 M,4087.3412 M, 25529472.0000 M, 6988080.0000 M
23,400,417,2.955,3.587,2.511,3.425,1.2174,1.2552,68.333,66.374,87.500,88.358,0.0100,0.0039035,1152.0452 M,4087.3412 M, 25529472.0000 M, 5937552.0000 M
24,0,417,1.164,1.164,0.699,0.699,1.3882,1.3882,64.167,64.167,87.500,87.500,0.0100,0.0039183,1139.2001 M,4087.3412 M, 25529472.0000 M, 5921040.0000 M
24,200,417,5.340,3.443,4.907,3.281,1.1622,1.2333,71.667,67.007,89.167,88.752,0.0100,0.0039083,1099.0593 M,4087.3412 M, 25529472.0000 M, 5617744.0000 M
24,400,417,3.324,3.529,2.880,3.367,1.4206,1.2469,65.000,66.631,85.833,88.703,0.0100,0.0039101,1030.0171 M,4087.3412 M, 25529472.0000 M, 5266776.0000 M
25,0,417,4.090,4.090,3.646,3.646,1.0840,1.0840,70.000,70.000,89.167,89.167,0.0100,0.0039077,1030.0171 M,4087.3412 M, 25529472.0000 M, 5266776.0000 M
25,200,417,4.230,3.579,3.801,3.416,1.1877,1.2472,67.500,66.808,89.167,88.561,0.0100,0.0038807,1002.7214 M,4087.3412 M, 25529472.0000 M, 5188904.0000 M
25,400,417,4.304,3.522,3.863,3.360,1.3053,1.2668,65.833,66.158,89.167,88.356,0.0100,0.0038824,935.2848 M,4087.3412 M, 25529472.0000 M, 4647784.0000 M
26,0,417,3.927,3.927,3.496,3.496,1.2648,1.2648,71.667,71.667,86.667,86.667,0.0100,0.0038883,935.2848 M,4087.3412 M, 25529472.0000 M, 4647784.0000 M
26,200,417,4.183,3.531,3.744,3.369,0.9652,1.2495,74.167,66.754,92.500,88.686,0.0100,0.0038753,851.7920 M,4087.3412 M, 25529472.0000 M, 4338232.0000 M
26,400,417,3.185,3.607,2.744,3.445,1.4329,1.2764,60.000,65.860,84.167,88.435,0.0100,0.0038701,826.1019 M,4087.3412 M, 25529472.0000 M, 4317624.0000 M
27,0,417,3.176,3.176,2.724,2.724,1.1590,1.1590,72.500,72.500,93.333,93.333,0.0100,0.0038883,826.1019 M,4087.3412 M, 25529472.0000 M, 4317624.0000 M
27,200,417,4.269,3.570,3.827,3.408,1.2555,1.2600,67.500,66.430,88.333,88.400,0.0100,0.0039272,771.5104 M,4087.3412 M, 25529472.0000 M, 4274032.0000 M
27,400,417,1.188,3.597,0.760,3.436,1.1400,1.2775,68.333,65.952,86.667,88.163,0.0100,0.0039436,771.5104 M,4087.3412 M, 25529472.0000 M, 4274032.0000 M
28,0,417,4.723,4.723,4.273,4.273,1.1185,1.1185,69.167,69.167,93.333,93.333,0.0100,0.0039470,771.5104 M,4087.3412 M, 25529472.0000 M, 4274032.0000 M
28,200,417,4.413,3.661,3.956,3.499,1.2895,1.2544,68.333,66.534,88.333,88.333,0.0100,0.0039270,758.5629 M,4087.3412 M, 25529472.0000 M, 4167520.0000 M
28,400,417,4.701,3.677,4.252,3.516,1.3498,1.2751,63.333,65.916,89.167,88.198,0.0100,0.0039228,716.8164 M,4087.3412 M, 25529472.0000 M, 4128040.0000 M
29,0,417,1.175,1.175,0.741,0.741,1.0545,1.0545,70.000,70.000,92.500,92.500,0.0100,0.0039333,716.8164 M,4087.3412 M, 25529472.0000 M, 4128040.0000 M
29,200,417,3.711,3.691,3.273,3.529,1.3228,1.2665,60.833,66.144,89.167,88.437,0.0100,0.0039085,716.8164 M,4087.3412 M, 25529472.0000 M, 4128040.0000 M
29,400,417,3.695,3.686,3.260,3.525,1.3989,1.2911,65.000,65.540,82.500,88.053,0.0100,0.0038821,716.8164 M,4087.3412 M, 25529472.0000 M, 4128040.0000 M
30,0,417,4.223,4.223,3.772,3.772,1.4430,1.4430,59.167,59.167,85.000,85.000,0.0100,0.0038884,716.8164 M,4087.3412 M, 25529472.0000 M, 4128040.0000 M
30,200,417,4.417,3.611,3.982,3.449,1.4756,1.2670,61.667,66.302,83.333,88.470,0.0100,0.0038621,716.8164 M,4087.3412 M, 25529472.0000 M, 4128040.0000 M
30,400,417,4.997,3.673,4.561,3.512,1.1443,1.2855,70.000,65.759,90.833,88.196,0.0100,0.0038391,710.3939 M,4087.3412 M, 25529472.0000 M, 3996904.0000 M
31,0,417,4.377,4.377,3.932,3.932,1.1692,1.1692,66.667,66.667,90.000,90.000,0.0100,0.0038453,690.3235 M,4087.3412 M, 25529472.0000 M, 3709832.0000 M
31,200,417,3.868,3.638,3.443,3.476,1.6954,1.2606,55.000,66.443,82.500,88.528,0.0100,0.0038438,676.6756 M,4087.3412 M, 25529472.0000 M, 3569280.0000 M
31,400,417,4.647,3.631,4.192,3.469,1.2155,1.2811,65.000,65.794,91.667,88.209,0.0100,0.0038295,656.6052 M,4087.3412 M, 25529472.0000 M, 3433564.0000 M
32,0,417,3.414,3.414,2.967,2.967,1.2945,1.2945,65.000,65.000,86.667,86.667,0.0100,0.0038373,650.1827 M,4087.3412 M, 25529472.0000 M, 3400764.0000 M
32,200,417,4.122,3.466,3.680,3.303,1.0999,1.2572,65.833,66.509,91.667,88.362,0.0100,0.0038291,618.0701 M,4087.3412 M, 25529472.0000 M, 3193500.0000 M
32,400,417,4.531,3.538,4.101,3.377,1.2434,1.2673,65.000,66.239,90.000,88.219,0.0100,0.0038294,592.3800 M,4087.3412 M, 25529472.0000 M, 3086700.0000 M
33,0,417,3.889,3.889,3.440,3.440,1.1433,1.1433,67.500,67.500,90.000,90.000,0.0100,0.0038403,592.3800 M,4087.3412 M, 25529472.0000 M, 3086700.0000 M
33,200,417,5.011,3.612,4.559,3.450,1.1056,1.2610,69.167,66.447,90.833,88.499,0.0100,0.0038355,551.9381 M,4087.3412 M, 25529472.0000 M, 2984868.0000 M
